,pack,level_id,question,solution_nl,solution_tool,solution_symbol,initial_symbol
0,Alpha,https://euclidea.fandom.com/wiki/Equilateral_Triangle,"Description: Construct an equilateral triangle with the given side. The construction must be exact. Guessing even very close points does not count as a solution.Let A and B be the two end points of the given segment.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Construct a circle with center A and radius AB
<Circle Tool>Construct a circle with center B and radius AB, intersecting circle A at points C and D
<Line Tool>Construct line AC
<Line Tool>Construct line BC","['Circle Tool', 'Circle Tool', 'Line Tool', 'Line Tool']","[['A', 'B'], ['AB'], ['C', 'D'], ['AC'], ['BC']]","['A', 'B']"
1,Alpha,https://euclidea.fandom.com/wiki/Angle_of_60%C2%B0,"Description: Construct an angle of 60° with the given side.Let A be the initial point of the given ray.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Construct a circle with center A and an arbitrary radius, intersecting the ray at point B.
<Circle Tool>Construct a circle with center B and radius AB, intersecting circle A at points C and D.
<Line Tool>Construct line AC.","['Circle Tool', 'Circle Tool', 'Line Tool']","[['A'], ['B'], ['C', 'AB', 'D'], ['AC']]",['A']
3,Alpha,https://euclidea.fandom.com/wiki/Perpendicular_Bisector,"Description: Construct the perpendicular bisector of the segment.Given the segment AB.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Construct a circle with center A and radius AB.
<Circle Tool>Construct a circle with center B and radius AB, intersecting circle A at C and D.
<Line Tool>Construct line CD.","['Circle Tool', 'Circle Tool', 'Line Tool']","[['AB'], ['A'], ['C', 'B', 'D'], ['CD']]",['AB']
5,Alpha,https://euclidea.fandom.com/wiki/Midpoint,"Description: Construct the midpoint of the segment defined by two points.Let A and B be the two points.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Intersect Tool']
Solution: ","<Line Tool>Construct line AB.
<Perpendicular Bisector Tool>Construct the perpendicular bisector of AB, intersecting AB at point C.","['Line Tool', 'Perpendicular Bisector Tool']","[['A', 'B'], ['AB'], ['C']]","['A', 'B']"
6,Alpha,https://euclidea.fandom.com/wiki/Circle_in_Square,"Description: Inscribe a circle in the square.Given the square ABCD.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Intersect Tool']
Solution: ","<Line Tool>Construct line AC.
<Perpendicular Bisector Tool>Construct the perpendicular bisector of AB, intersecting AB at point E and AC at point F.
<Circle Tool>Construct a circle with center E and radius EF.","['Line Tool', 'Perpendicular Bisector Tool', 'Circle Tool']","[['ABCD'], ['AC'], ['F', 'AB', 'E'], ['EF']]",['ABCD']
8,Alpha,https://euclidea.fandom.com/wiki/Rhombus_in_Rectangle,"Description: Inscribe a rhombus in the rectangle so that they share a diagonal.Given the rectangle ABCD with AB>AD.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Intersect Tool']
Solution: ","<Perpendicular Bisector Tool>Construct the perpendicular bisector of AC, intersecting AB at point E and CD at point F.
<Line Tool>Construct line AF.
<Line Tool>Construct line CE.","['Perpendicular Bisector Tool', 'Line Tool', 'Line Tool']","[['ABCD', 'AB', 'AD'], ['F', 'E', 'AC', 'CD'], ['AF'], ['CE']]","['ABCD', 'AB', 'AD']"
9,Alpha,https://euclidea.fandom.com/wiki/Circle_Center,"Description: Construct the center of the circle.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Construct the perpendicular bisector P1 of two arbitrary points on the circle.
<Circle Tool>Construct the perpendicular bisector of two other arbitrary points on the circle, intersecting P1 at point A.
<Point Tool>Point at A.      ","['Circle Tool', 'Circle Tool', 'Point Tool']","[[], [], ['A'], []]",[]
10,Alpha,https://euclidea.fandom.com/wiki/Inscribed_Square,"Description: Inscribe a square in the circle. One vertex of the square is given.Let O be the center of the circle and A the vertex.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Intersect Tool']
Solution: ","<Line Tool>Construct line OA, intersecting the circle at point B.
<Perpendicular Bisector Tool>Construct the perpendicular bisector of AB, intersecting the circle at points C and D.
<Line Tool>Construct line AC.
<Line Tool>Construct line BC.
<Line Tool>Construct line BD.
<Line Tool>Construct line AD.","['Line Tool', 'Perpendicular Bisector Tool', 'Line Tool', 'Line Tool', 'Line Tool', 'Line Tool']","[['O', 'A'], ['B', 'OA'], ['C', 'AB', 'D'], ['AC'], ['BC'], ['BD'], ['AD']]","['O', 'A']"
11,Beta,https://euclidea.fandom.com/wiki/Angle_Bisector,"Description: Construct the line that bisects the given angle.Let A be the vertex of the angle.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Construct a circle with center A and an arbitrary radius, intersecting the sides of the angle at points B and C.
<Perpendicular Bisector Tool>Construct the perpendicular bisector of BC.","['Circle Tool', 'Perpendicular Bisector Tool']","[['A'], ['B', 'C'], ['BC']]",['A']
13,Beta,https://euclidea.fandom.com/wiki/Intersection_of_Angle_Bisectors,"Description: Construct the point where the angle bisectors of the triangle are intersected.Given the triangle ABC.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Angle Bisector Tool>Construct the angle bisector A1 of  angle BAC.
<Angle Bisector Tool>Construct the angle bisector A2 of  angle ACB, intersecting A1 at D.","['Angle Bisector Tool', 'Angle Bisector Tool']","[['ABC'], ['BAC'], ['ACB', 'D']]",['ABC']
