,pack,level_id,question,question_r,solution_r,solution_nl,solution_tool,solution_symbol,initial_symbol
0,Alpha,https://euclidea.fandom.com/wiki/Equilateral_Triangle,"Description: Construct an equilateral triangle with the given side. The construction must be exact. Guessing even very close points does not count as a solution.Let A and B be the two end points of the given segment.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Intersect Tool']
Solution: ","Description: Construct an equilateral triangle with the given side. The construction must be exact. Guessing even very close points does not count as a solution.Let A and B be the two end points of the given segment.
Solution: ","Construct a circle with center A and radius AB
Construct a circle with center B and radius AB, intersecting circle A at points C and D
Construct line AC
Construct line BC
Rationale: A circle contains all points at an equal distance from the center. Since B and C both lie on the circle centered at A, AB=AC; likewise, since A and C both lie on the circle centered at B, AB=BC. As all three sides have the same length, the triangle ABC thus created is equilateral. The same is true for the second triangle ABD.
","<Circle Tool>Construct a circle with center A and radius AB
<Circle Tool>Construct a circle with center B and radius AB, intersecting circle A at points C and D
<Line Tool>Construct line AC
<Line Tool>Construct line BC","['Circle Tool', 'Circle Tool', 'Line Tool', 'Line Tool']","[['A', 'B'], ['AB'], ['C', 'D'], ['AC'], ['BC']]","['A', 'B']"
1,Alpha,https://euclidea.fandom.com/wiki/Angle_of_60%C2%B0,"Description: Construct an angle of 60° with the given side.Let A be the initial point of the given ray.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Intersect Tool']
Solution: ","Description: Construct an angle of 60° with the given side.Let A be the initial point of the given ray.
Solution: ","Construct a circle with center A and an arbitrary radius, intersecting the ray at point B.
Construct a circle with center B and radius AB, intersecting circle A at points C and D.
Construct line AC.
Rationale: All internal angles of an equilateral triangle are 60°, so you just need to construct the two sides of an equilateral triangle adjacent to vertex A.
The two circles ensure that AB=AC=BC and AB=AD=BD and so ABC and ABD are equilateral and angles CAB and DAB are 60°.
","<Circle Tool>Construct a circle with center A and an arbitrary radius, intersecting the ray at point B.
<Circle Tool>Construct a circle with center B and radius AB, intersecting circle A at points C and D.
<Line Tool>Construct line AC.","['Circle Tool', 'Circle Tool', 'Line Tool']","[['A'], ['B'], ['AB', 'C', 'D'], ['AC']]",['A']
2,Alpha,https://euclidea.fandom.com/wiki/Intersect_Tool,"Description: If it is hard to hit the required intersection since lines are too close to each other, use the Intersect tool. Select one object (a circle or a line), then the second one. To practice, construct the intersection of the given circles.
Tool List: ['Intersect Tool']
Solution: ","Description: If it is hard to hit the required intersection since lines are too close to each other, use the Intersect tool. Select one object (a circle or a line), then the second one. To practice, construct the intersection of the given circles.
Solution: ","
Rationale: The intersection tool can be an easier way to highlight particular points than attempting to zoom in and manually select which point is desired.
",,[],[[]],[]
3,Alpha,https://euclidea.fandom.com/wiki/Perpendicular_Bisector,"Description: Construct the perpendicular bisector of the segment.Given the segment AB.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Intersect Tool']
Solution: ","Description: Construct the perpendicular bisector of the segment.Given the segment AB.
Solution: ","Construct a circle with center A and radius AB.
Construct a circle with center B and radius AB, intersecting circle A at C and D.
Construct line CD.
Rationale: Any point of a perpendicular bisector is equidistant to both A and B. The two circles ensure that AC=BC and AD=BD and so both C and D are on the perpendicular bisector of segment AB.
","<Circle Tool>Construct a circle with center A and radius AB.
<Circle Tool>Construct a circle with center B and radius AB, intersecting circle A at C and D.
<Line Tool>Construct line CD.","['Circle Tool', 'Circle Tool', 'Line Tool']","[['AB'], ['A'], ['B', 'C', 'D'], ['CD']]",['AB']
4,Alpha,https://euclidea.fandom.com/wiki/Perpendicular_Bisector_Tool,"Description: You have discovered the Perpendicular Bisector tool. Click sequentially on two points to see how it works.
Tool List: ['Perpendicular Bisector Tool']
Solution: ","Description: You have discovered the Perpendicular Bisector tool. Click sequentially on two points to see how it works.
Solution: ","
Rationale: The bisector tool works even when the line between two points has not been drawn; however the dashed line shown by the bisector tool is just visual decoration, and cannot be used by the Point or Intersect tool for selecting the midpoint.  It is also possible to tap-and-hold on one point, then drag to see where the perpendicular bisector will land before releasing at the second point.
In many levels, use of the perpendicular bisector tool can achieve a lower L score than constructing the perpendicular bisector by elementary tools; however, when minimizing the E score, there are often situations where replacing an application of the bisector tool by its three underlying elementary constructions can point out a common underlying circle that can be reused for two perpendicular bisectors.
",,[],[[]],[]
5,Alpha,https://euclidea.fandom.com/wiki/Midpoint,"Description: Construct the midpoint of the segment defined by two points.Let A and B be the two points.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Intersect Tool']
Solution: ","Description: Construct the midpoint of the segment defined by two points.Let A and B be the two points.
Solution: ","Construct line AB.
Construct the perpendicular bisector of AB, intersecting AB at point C.
Rationale: The perpendicular bisector of a segment passes through its midpoint.
","<Line Tool>Construct line AB.
<Perpendicular Bisector Tool>Construct the perpendicular bisector of AB, intersecting AB at point C.","['Line Tool', 'Perpendicular Bisector Tool']","[['A', 'B'], ['AB'], ['C']]","['A', 'B']"
6,Alpha,https://euclidea.fandom.com/wiki/Circle_in_Square,"Description: Inscribe a circle in the square.Given the square ABCD.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Intersect Tool']
Solution: ","Description: Inscribe a circle in the square.Given the square ABCD.
Solution: ","Construct line AC.
Construct the perpendicular bisector of AB, intersecting AB at point E and AC at point F.
Construct a circle with center E and radius EF.
Rationale: In a square, the center of the inscribed circle is the intersection of its diagonal and the intersection of the perpendicular bisector of its sides. Constructing one diagonal and one perpendicular bisector is enough to find the center of the circle. One perpendiculor bisector is needed to determine the radius as the inscribed circle passes through all the midpoints of the square's sides.
","<Line Tool>Construct line AC.
<Perpendicular Bisector Tool>Construct the perpendicular bisector of AB, intersecting AB at point E and AC at point F.
<Circle Tool>Construct a circle with center E and radius EF.","['Line Tool', 'Perpendicular Bisector Tool', 'Circle Tool']","[['ABCD'], ['AC'], ['AB', 'E', 'F'], ['EF']]",['ABCD']
7,Alpha,https://euclidea.fandom.com/wiki/Move_Tool,"Description: Pascal's theorem states that if a hexagon is inscribed in a circle, then three points of intersection of its opposite sides lie on a straight line. Use the Move tool to see how the theorem works: just drag the blue points.Let A, B, C, D, E, and F be the 6 points of a hexagon inscribed in a circle.
Tool List: []
Solution: ","Description: Pascal's theorem states that if a hexagon is inscribed in a circle, then three points of intersection of its opposite sides lie on a straight line. Use the Move tool to see how the theorem works: just drag the blue points.Let A, B, C, D, E, and F be the 6 points of a hexagon inscribed in a circle.
Solution: ","
Rationale: This level does not construct anything, but does demonstrate Pascal's theorem in use.  As long as opposite sides of the hexagon are not parallel (which cannot be achieved in Euclidea using just the Move tool), they have an intersection; moving a hexagon vertex shows that the dependent intersections H, I, and J remain collinear.
When the move tool is active, one finger on an empty area scrolls, one finger on a point, line, or circle moves that item along with all other items whose construction depends on it, and double-tap-and-drag-up/down zooms.
",,[],"[['A', 'B', 'C', 'D', 'E', 'F']]","['A', 'B', 'C', 'D', 'E', 'F']"
8,Alpha,https://euclidea.fandom.com/wiki/Rhombus_in_Rectangle,"Description: Inscribe a rhombus in the rectangle so that they share a diagonal.Given the rectangle ABCD with AB>AD.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Intersect Tool']
Solution: ","Description: Inscribe a rhombus in the rectangle so that they share a diagonal.Given the rectangle ABCD with AB>AD.
Solution: ","Construct the perpendicular bisector of AC, intersecting AB at point E and CD at point F.
Construct line AF.
Construct line CE.
Rationale: In a rhombus, the diagonals are perpendicular bisectors to each other, so given one of the rectangle's diagonal (also one of the rhombus' diagonal), constructing its perpendicular bisector gives you the second diagonal. The intersections of that second diagonal with the rectangle give you the two remaining vertices of the rhombus.
","<Perpendicular Bisector Tool>Construct the perpendicular bisector of AC, intersecting AB at point E and CD at point F.
<Line Tool>Construct line AF.
<Line Tool>Construct line CE.","['Perpendicular Bisector Tool', 'Line Tool', 'Line Tool']","[['ABCD', 'AB', 'AD'], ['AC', 'CD', 'E', 'F'], ['AF'], ['CE']]","['ABCD', 'AB', 'AD']"
9,Alpha,https://euclidea.fandom.com/wiki/Circle_Center,"Description: Construct the center of the circle.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Intersect Tool']
Solution: ","Description: Construct the center of the circle.
Solution: ","Construct the perpendicular bisector P1 of two arbitrary points on the circle.
Construct the perpendicular bisector of two other arbitrary points on the circle, intersecting P1 at point A.
Point at A.      
Rationale: Given any two points on a circle, the perpendicular bisector of the segment made up of those two points passes through the center of the circle. Therefore, by constructing two perpendicular bisectors, you'll find the center.
The 5E solution uses the same reasoning, except you need to construct the perpendicular bisector without using the Perpendicular Bisector tool. As a reminder, in order to build a perpendicular bisector, you just need to construct two circles of equal radius with their centers on the circle and construct the line that passes through the intersections of those two circles. The trick to save 1 Elementary operation is to use one of the existing circles to construct your second perpendicular bisector.
","<Circle Tool>Construct the perpendicular bisector P1 of two arbitrary points on the circle.
<Circle Tool>Construct the perpendicular bisector of two other arbitrary points on the circle, intersecting P1 at point A.
<Point Tool>Point at A.      ","['Circle Tool', 'Circle Tool', 'Point Tool']","[[], [], ['A'], []]",[]
10,Alpha,https://euclidea.fandom.com/wiki/Inscribed_Square,"Description: Inscribe a square in the circle. One vertex of the square is given.Let O be the center of the circle and A the vertex.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Intersect Tool']
Solution: ","Description: Inscribe a square in the circle. One vertex of the square is given.Let O be the center of the circle and A the vertex.
Solution: ","Construct line OA, intersecting the circle at point B.
Construct the perpendicular bisector of AB, intersecting the circle at points C and D.
Construct line AC.
Construct line BC.
Construct line BD.
Construct line AD.
Rationale: Solution 6L is easy as the inscribed square's center is the same as the circle's center, so you can find the vertex opposite to A as its diametrical opposite. That diameter is also a diagonal of the square, so by constructing its perpendicular bisector and second diagonal of the square, you can find the two remaining vertices and just need to trace the whole square.
","<Line Tool>Construct line OA, intersecting the circle at point B.
<Perpendicular Bisector Tool>Construct the perpendicular bisector of AB, intersecting the circle at points C and D.
<Line Tool>Construct line AC.
<Line Tool>Construct line BC.
<Line Tool>Construct line BD.
<Line Tool>Construct line AD.","['Line Tool', 'Perpendicular Bisector Tool', 'Line Tool', 'Line Tool', 'Line Tool', 'Line Tool']","[['O', 'A'], ['B', 'OA'], ['AB', 'C', 'D'], ['AC'], ['BC'], ['BD'], ['AD']]","['O', 'A']"
11,Beta,https://euclidea.fandom.com/wiki/Angle_Bisector,"Description: Construct the line that bisects the given angle.Let A be the vertex of the angle.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Intersect Tool']
Solution: ","Description: Construct the line that bisects the given angle.Let A be the vertex of the angle.
Solution: ","Construct a circle with center A and an arbitrary radius, intersecting the sides of the angle at points B and C.
Construct the perpendicular bisector of BC.
Rationale: The three circles allow you to construct a rhombus ABDC, which means its diagonal AD should bisect angle A.
","<Circle Tool>Construct a circle with center A and an arbitrary radius, intersecting the sides of the angle at points B and C.
<Perpendicular Bisector Tool>Construct the perpendicular bisector of BC.","['Circle Tool', 'Perpendicular Bisector Tool']","[['A'], ['B', 'C'], ['BC']]",['A']
12,Beta,https://euclidea.fandom.com/wiki/Angle_Bisector_Tool,"Description: You have discovered the Angle Bisector tool. Click on any point on a side, on the vertex, and on any point on the other side.Let A be the vertex of the angle between ray B and C.
Tool List: ['Angle Bisector Tool']
Solution: ","Description: You have discovered the Angle Bisector tool. Click on any point on a side, on the vertex, and on any point on the other side.Let A be the vertex of the angle between ray B and C.
Solution: ","With the angle bisector tool active, select one of the two rays, then select the vertex, then select the other ray.
Rationale: The angle bisector tool works with either three clicks (ray, vertex, ray); or with a click on a ray, then click-and-drag on the vertex and release on the final ray; or with a click-and-drag on the first ray with a release on the vertex, followed by a click on the final ray.  Before the final action, the tool gives a visualization of where the bisector will appear.  The angle bisector tool works even for a vertex of a 180° angle (that is, when both rays are collinear), although in such cases, it costs more elementary moves than using the Perpendicular tool.  When selecting a ray, the tool prefers lines, but can also select points; a dashed line is drawn when there is not already a ray from a selected point to the vertex, although that decoration is not usable by the Point or Intersection tool.
","<Angle Bisector Tool>With the angle bisector tool active, select one of the two rays, then select the vertex, then select the other ray.",['Angle Bisector Tool'],"[['A', 'B', 'C'], []]","['A', 'B', 'C']"
13,Beta,https://euclidea.fandom.com/wiki/Intersection_of_Angle_Bisectors,"Description: Construct the point where the angle bisectors of the triangle are intersected.Given the triangle ABC.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Construct the point where the angle bisectors of the triangle are intersected.Given the triangle ABC.
Solution: ","Construct the angle bisector A1 of  angle BAC.
Construct the angle bisector A2 of  angle ACB, intersecting A1 at D.
Rationale: Solution 6E has you manually construct the two angle bisectors. The first two circles has you construct two isosceles triangles ABD and ABE. Considering ABD with its base BD and the circle B, you can construct another circle with center D and the same radius and both circles would intersect along the perpendicular bisector of BD, which coincides with the angle bisector of ∠BAD since ABD is isosceles. Use the same reasoning by considering ABE with is base AE and the circle A and you can construct the perpendicular bisector of AE, which again coincides with the angle bisector of ∠ABE.  Although the same point will be constructed for any two of the three angle bisectors of the triangle, the 6E solution only works when started from the shortest side, as otherwise you would also have to construct a line extension to the other side to locate the point forming the base of an isosceles triangle.
","<Angle Bisector Tool>Construct the angle bisector A1 of  angle BAC.
<Angle Bisector Tool>Construct the angle bisector A2 of  angle ACB, intersecting A1 at D.","['Angle Bisector Tool', 'Angle Bisector Tool']","[['ABC'], ['BAC'], ['ACB', 'D']]",['ABC']
14,Beta,https://euclidea.fandom.com/wiki/Angle_of_30%C2%B0,"Description: Construct an angle of 30° with the given side.Let A be the initial point of the given ray.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Construct an angle of 30° with the given side.Let A be the initial point of the given ray.
Solution: ","Construct a circle with an arbitrary center B and radius AB, intersecting the ray at point C. Although the image shown here places B on the ray, this construction works even when point B is not on the ray, so long as B is on the same half of the plane as the ray.
Construct a circle with center C and radius BC, intersecting circle B at points D and E.
Construct line AD.
Rationale: You want the angle of 30° to be the inscribed angle of circle B that will subtend the same arc as a central angle of 60°, which you can get by constructing an equilateral triangle. By constructing circle C, you get BCD, an equilateral triangle, so the arc CD is the arc you want.
","<Circle Tool>Construct a circle with an arbitrary center B and radius AB, intersecting the ray at point C. Although the image shown here places B on the ray, this construction works even when point B is not on the ray, so long as B is on the same half of the plane as the ray.
<Circle Tool>Construct a circle with center C and radius BC, intersecting circle B at points D and E.
<Line Tool>Construct line AD.","['Circle Tool', 'Circle Tool', 'Line Tool']","[['A'], ['B', 'AB', 'C'], ['E', 'BC', 'D'], ['AD']]",['A']
15,Beta,https://euclidea.fandom.com/wiki/Double_Angle,"Description: Construct an angle equal to the given one so that they share one side.Let O be the vertex of the angle.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Construct an angle equal to the given one so that they share one side.Let O be the vertex of the angle.
Solution: ","Construct a circle with an arbitrary center A on one ray and an arbitrary radius so that it intersects the other ray at least once. Let B be one of those intersections.
Construct a circle with another arbitrary center C on the first ray and radius BC, intersecting circle A at D.
Construct line OD.
Rationale: The first circle allows you to pick any point on the other ray and the second circle allows you to create the reflection of that point through the first ray. Then by tracing the line OD, you're actually constructing the reflection of the second ray through the first ray, so it's angle to the first ray will be the same.
","<Circle Tool>Construct a circle with an arbitrary center A on one ray and an arbitrary radius so that it intersects the other ray at least once. Let B be one of those intersections.
<Circle Tool>Construct a circle with another arbitrary center C on the first ray and radius BC, intersecting circle A at D.
<Line Tool>Construct line OD.","['Circle Tool', 'Circle Tool', 'Line Tool']","[['O'], ['B', 'A'], ['C', 'BC', 'D'], ['OD']]",['O']
16,Beta,https://euclidea.fandom.com/wiki/Cut_Rectangle,"Description: Construct a line through the given point that cuts the rectangle into two parts of equal area.Given the rectangle ABCD and the point O.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Construct a line through the given point that cuts the rectangle into two parts of equal area.Given the rectangle ABCD and the point O.
Solution: ","Construct line AC, a diagonal of the rectangle
Construct line BD, the other diagonal, intersecting AC at E
Construct line OE
Rationale: Any way you cut the rectangle with a line, if it passes through its centre, then it will cut the rectangle into two equal halves. So, you just need to find the centre of the rectangle by tracing its diagonals.
","<Line Tool>Construct line AC, a diagonal of the rectangle
<Line Tool>Construct line BD, the other diagonal, intersecting AC at E
<Line Tool>Construct line OE","['Line Tool', 'Line Tool', 'Line Tool']","[['ABCD', 'O'], ['AC'], ['E', 'BD'], ['OE']]","['ABCD', 'O']"
